Perusahaan,Tahun,LCS,STDDEVROA,ROA,MTB,LEV,AGE,PM
KDSI,2015,1,0.0401941,0.041257517,0.204145299,0.678087395,42,0.006692487
KDSI,2014,1,0.023683267,0.009744818,0.371805129,0.583588091,41,0.052509504
KDSI,2013,2,0.013484564,0.089681467,0.396936001,0.585985796,40,0.025970132
KDSI,2012,3,0.017635849,0.042344553,0.63440228,0.446151375,39,0.028307183
KDSI,2011,3,0.010570657,0.064562534,0.355429796,0.524872803,38,0.020015764
KIAS,2016,5,0.095218959,-0.048257981,0.785726598,0.182634561,48,-0.292340645
KIAS,2015,5,0.069185327,-0.135776245,0.74090454,0.146350697,47,-0.204548715
KIAS,2014,3,0.009993228,-0.077066448,1.036744514,0.100208846,46,0.132074871
KIAS,2013,3,0.024846912,0.050469764,1.130384381,0.098552937,45,0.082736621
KIAS,2012,2,0.021506107,0.033185144,1.32261518,0.078594307,44,0.091048942
KIAS,2011,2,0.015685511,0.033136928,0.622042018,0.047160079,43,-0.031112654
KICI,2016,1,0.074511793,0.053185086,0.37209405,0.36334808,42,0.003651935
KICI,2015,1,0.092886277,0.002595944,0.369491337,0.30232168,41,-0.141722596
KICI,2014,3,0.025849942,-0.097143389,0.470055404,0.186733355,40,0.045677848
KICI,2013,3,0.03687408,0.048617211,0.503672929,0.247407954,39,0.074921978
KICI,2012,2,0.017000576,0.07548142,0.55982025,0.299074321,38,0.023837335
KICI,2011,1,0.050755056,0.023794981,0.386328558,0.264490349,37,0.004076213
KLBF,2016,3,0.01082157,0.147641795,5.697743978,0.181410771,50,0.121340813
KLBF,2015,3,0.012926859,0.154399285,5.656751091,0.20137612,49,0.11503555
KLBF,2014,3,0.0094256,0.15023595,8.737630351,0.209863171,48,0.122122613
KLBF,2013,3,0.007340602,0.170711071,6.8934344,0.248792582,47,0.123136877
KLBF,2012,3,0.002941191,0.174144214,7.301882626,0.217277858,46,0.130173519
KLBF,2011,3,0.023200325,0.188480242,1.059877016,0.212533392,45,0.139568946
KRAH,2016,2,0.042685287,-0.083223161,12.86568359,0.70244607,26,0.002645488
KRAH,2015,1,0.057253573,0.001381034,12.04551509,0.669053427,25,-0.026923066
KRAH,2014,1,0.018112788,-0.014290966,4.214067173,0.61047598,24,0.110946631
KRAH,2013,1,0.045052633,0.066221664,1.817773666,0.529387554,23,0.103174602
LION,2016,3,0.009956586,0.013612592,1.160249067,0.315260726,44,0.111688916
LION,2015,3,0.031023751,0.061744845,1.20109416,0.288944068,43,0.118223498
LION,2014,2,0.057898363,0.071979458,0.108957596,0.260161727,42,0.129763492
LION,2013,3,0.035420427,0.081655405,0.150123981,0.178077168,41,0.194085493
